Unnamed: 0,Rank,Book Link,Title,Author,Genre,Language,Average Rating,Number of Ratings,Publication Date,Number of Pages,Currently Reading,Want to Read
34,35,https://www.goodreads.com/book/show/62296528-spare,Spare,Prince Harry,Nonfiction,English,3.85,391593.0,"January 10, 2023",410.0,46000.0,233000.0
35,36,https://www.goodreads.com/book/show/62703226-the-only-one-left,The Only One Left,Riley Sager,Thriller,English,4.13,392070.0,"June 20, 2023",383.0,17000.0,441000.0
36,37,https://www.goodreads.com/book/show/60766189-a-day-of-fallen-night,A Day of Fallen Night,Samantha Shannon,Fantasy,English,4.35,40633.0,"February 28, 2023",868.0,10100.0,242000.0
37,38,https://www.goodreads.com/book/show/63031640-powerless,Powerless,Elsie Silver,Romance,English,4.07,272723.0,"February 10, 2023",504.0,16400.0,179000.0
38,39,https://www.goodreads.com/book/show/61361681-clytemnestra,Clytemnestra,Costanza Casati,Mythology,English,4.24,36756.0,"May 2, 2023",435.0,3366.0,191000.0
39,40,https://www.goodreads.com/book/show/60784373-what-lies-in-the-woods,What Lies in the Woods,Kate Alice Marshall,Thriller,English,3.95,159036.0,"January 17, 2023",336.0,6906.0,324000.0
40,41,https://www.goodreads.com/book/show/63847274-a-soul-of-ash-and-blood,A Soul of Ash and Blood,Jennifer L. Armentrout,Romance,English,3.9,113781.0,"July 18, 2023",712.0,10500.0,167000.0
41,42,https://www.goodreads.com/book/show/62628727-romantic-comedy,Romantic Comedy,Curtis Sittenfeld,Romance,English,3.63,216016.0,"April 4, 2023",309.0,12500.0,235000.0
42,43,https://www.goodreads.com/book/show/174186566-not-in-a-billion-years,Not in a Billion Years,Camilla Isley,Romance,English,3.8,3894.0,"September 6, 2023",370.0,784.0,25100.0
43,44,https://www.goodreads.com/book/show/60683957-check-mate,Check & Mate,Ali Hazelwood,Young Adult,English,3.96,263106.0,"November 7, 2023",347.0,7860.0,340000.0
44,45,https://www.goodreads.com/book/show/62226126-the-last-devil-to-die,The Last Devil to Die,Richard Osman,Mystery,English,4.48,166758.0,"September 14, 2023",421.0,8282.0,122000.0
45,46,https://www.goodreads.com/book/show/61190770-chain-gang-all-stars,Chain-Gang All-Stars,Nana Kwame Adjei-Brenyah,Fiction,English,4.13,64692.0,"May 2, 2023",367.0,7779.0,172000.0
46,47,https://www.goodreads.com/book/show/62971668-someone-else-s-shoes,Someone Else's Shoes,Jojo Moyes,Fiction,English,3.96,211769.0,"February 2, 2023",438.0,13000.0,204000.0
47,48,https://www.goodreads.com/book/show/63922274-go-as-a-river,Go as a River,Shelley Read,Historical Fiction,English,4.27,120840.0,"March 7, 2023",320.0,8936.0,164000.0
48,49,https://www.goodreads.com/book/show/61109599-secretly-yours,Secretly Yours,Tessa Bailey,Romance,English,3.28,131983.0,"February 7, 2023",384.0,5318.0,172000.0
49,50,https://www.goodreads.com/book/show/61085925-these-infinite-threads,These Infinite Threads,Tahereh Mafi,Fantasy,English,4.08,35346.0,"February 7, 2023",416.0,1622.0,105000.0
50,51,https://www.goodreads.com/book/show/65214365-fall-of-ruin-and-wrath,Fall of Ruin and Wrath,Jennifer L. Armentrout,Fantasy,English,4.0,64879.0,"September 12, 2023",416.0,4354.0,197000.0
51,52,https://www.goodreads.com/book/show/60784912-lost-in-the-moment-and-found,Lost in the Moment and Found,Seanan McGuire,Fantasy,English,4.32,14417.0,"January 10, 2023",208.0,222.0,16600.0
52,53,https://www.goodreads.com/book/show/61273863-the-writing-retreat,The Writing Retreat,Julia Bartz,Thriller,English,3.42,66750.0,"February 21, 2023",313.0,1994.0,105000.0
53,54,https://www.goodreads.com/book/show/61714633-the-wager,"The Wager: A Tale of Shipwreck, Mutiny and Murder",David Grann,Nonfiction,English,4.18,146892.0,"April 18, 2023",331.0,19600.0,241000.0
54,55,https://www.goodreads.com/book/show/145622214-heir-of-broken-fate,Heir of Broken Fate,Mads Rafferty,Fantasy,English,3.71,5966.0,"May 3, 2023",512.0,1295.0,43800.0
55,56,https://www.goodreads.com/book/show/63035432-the-chalice-of-the-gods,The Chalice of the Gods,Rick Riordan,Fantasy,English,4.3,104375.0,"September 26, 2023",288.0,7454.0,106000.0
56,57,https://www.goodreads.com/book/show/60784409-a-house-with-good-bones,A House with Good Bones,T. Kingfisher,Horror,English,3.68,47810.0,"March 28, 2023",247.0,1759.0,128000.0
57,58,https://www.goodreads.com/book/show/60531416-yumi-and-the-nightmare-painter,Yumi and the Nightmare Painter,Brandon Sanderson,Fantasy,English,4.47,73105.0,"July 1, 2023",480.0,5109.0,85500.0
58,59,https://www.goodreads.com/book/show/61273858-the-house-of-eve,The House of Eve,Sadeqa Johnson,Historical Fiction,English,4.25,105535.0,"February 7, 2023",384.0,5820.0,202000.0
59,60,https://www.goodreads.com/book/show/180357146-the-covenant-of-water,The Covenant of Water,Abraham Verghese,Fiction,English,4.43,229442.0,"May 2, 2023",724.0,57300.0,419000.0
60,61,https://www.goodreads.com/book/show/61884838-atalanta,Atalanta,Jennifer Saint,Mythology,English,3.77,25075.0,"April 11, 2023",291.0,1734.0,123000.0
61,62,https://www.goodreads.com/book/show/60784641-the-villa,The Villa,Rachel Hawkins,Mystery,English,3.63,129289.0,"January 3, 2023",279.0,7886.0,151000.0
62,63,https://www.goodreads.com/book/show/65969788-magic-tides,Magic Tides,Ilona Andrews,Urban Fantasy,English,4.51,15511.0,"January 17, 2023",158.0,710.0,5513.0
63,64,https://www.goodreads.com/book/show/63133205-the-woman-in-me,The Woman in Me,Britney Spears,Nonfiction,English,3.85,492954.0,"October 24, 2023",288.0,21500.0,233000.0
64,65,https://www.goodreads.com/book/show/61053829-i-have-some-questions-for-you,I Have Some Questions for You,Rebecca Makkai,Fiction,English,3.6,123626.0,"February 21, 2023",438.0,8635.0,193000.0
65,66,https://www.goodreads.com/book/show/17699859-chain-of-thorns,Chain of Thorns,Cassandra Clare,Fantasy,English,4.05,53650.0,"January 31, 2023",778.0,4049.0,116000.0
66,67,https://www.goodreads.com/book/show/61065982-the-bandit-queens,The Bandit Queens,Parini Shroff,Fiction,English,3.93,39449.0,"January 3, 2023",342.0,2775.0,96000.0
67,68,https://www.goodreads.com/book/show/60701439-big-swiss,Big Swiss,Jen Beagin,Fiction,English,3.68,102392.0,"February 7, 2023",336.0,6656.0,177000.0
68,69,https://www.goodreads.com/book/show/62583516-the-wind-knows-my-name,The Wind Knows My Name,Isabel Allende,Historical Fiction,English,4.02,47208.0,"June 6, 2023",260.0,4323.0,107000.0
69,70,https://www.goodreads.com/book/show/198566969-the-general,The General,Israh Azizi,Fantasy,English,4.6,113.0,"November 23, 2023",336.0,7.0,4288.0
70,71,https://www.goodreads.com/book/show/62698816-lore-olympus,Lore Olympus: Volume Four,Rachel Smythe,Graphic Novels,English,4.48,35157.0,"June 6, 2023",416.0,308.0,18400.0
71,72,https://www.goodreads.com/book/show/60487511-the-love-wager,The Love Wager,Lynn Painter,Romance,English,3.87,87128.0,"March 14, 2023",315.0,2294.0,130000.0
72,73,https://www.goodreads.com/book/show/61272184-mysteries-of-thorn-manor,Mysteries of Thorn Manor,Margaret Rogerson,Fantasy,English,4.07,24985.0,"January 17, 2023",192.0,602.0,42700.0
73,74,https://www.goodreads.com/book/show/61341819-hang-the-moon,Hang the Moon,Jeannette Walls,Historical Fiction,English,3.82,75011.0,"March 28, 2023",368.0,6782.0,87100.0
74,75,https://www.goodreads.com/book/show/60460704-lone-women,Lone Women,Victor LaValle,Horror,English,3.71,30780.0,"March 28, 2023",285.0,1680.0,94500.0
75,76,https://www.goodreads.com/book/show/73071451-throne-of-the-fallen,Throne of the Fallen,Kerri Maniscalco,Fantasy,English,4.04,64070.0,"October 3, 2023",384.0,9107.0,236000.0
76,77,https://www.goodreads.com/book/show/62919356-immortal-longings,Immortal Longings,Chloe Gong,Fantasy,English,3.54,22782.0,"July 18, 2023",372.0,2419.0,138000.0
77,78,https://www.goodreads.com/book/show/109554429-magic-claims,Magic Claims,Ilona Andrews,Urban Fantasy,English,4.7,12773.0,"June 13, 2023",240.0,650.0,3370.0
78,79,https://www.goodreads.com/book/show/75302266-a-study-in-drowning,A Study in Drowning,Ava Reid,Fantasy,English,3.76,67191.0,"September 19, 2023",378.0,4384.0,247000.0
79,80,https://www.goodreads.com/book/show/61150759-the-last-tale-of-the-flower-bride,The Last Tale of the Flower Bride,Roshani Chokshi,Fantasy,English,3.71,26498.0,"February 14, 2023",289.0,1226.0,8947.0
80,81,https://www.goodreads.com/book/show/65211701-system-collapse,System Collapse,Martha Wells,Science Fiction,English,4.23,49995.0,"November 13, 2023",256.0,3579.0,41300.0
81,82,https://www.goodreads.com/book/show/65213595-starling-house,Starling House,Alix E. Harrow,Fantasy,English,3.81,116264.0,"October 3, 2023",320.0,7905.0,232000.0
82,83,https://www.goodreads.com/book/show/61282437-the-ferryman,The Ferryman,Justin Cronin,Science Fiction,English,3.92,35331.0,"May 2, 2023",538.0,3382.0,97200.0
83,84,https://www.goodreads.com/book/show/124950295-out-on-a-limb,Out on a Limb,Hannah Bonam-Young,Romance,English,4.33,92643.0,"July 11, 2023",397.0,4181.0,173000.0
84,85,https://www.goodreads.com/book/show/61884932-thornhedge,Thornhedge,T. Kingfisher,Fantasy,English,3.98,36290.0,"August 15, 2023",111.0,897.0,50100.0
85,86,https://www.goodreads.com/book/show/59054191-loathe-to-love-you,Loathe to Love You,Ali Hazelwood,Romance,English,3.85,66058.0,"February 2, 2023",370.0,3562.0,89700.0
86,87,https://www.goodreads.com/book/show/58416952-the-will-of-the-many,The Will of the Many,James Islington,Fantasy,English,4.62,72299.0,"May 23, 2023",639.0,11800.0,331000.0
87,88,https://www.goodreads.com/book/show/61885029-starter-villain,Starter Villain,John Scalzi,Science Fiction,English,4.14,64331.0,"September 19, 2023",264.0,4286.0,90600.0
88,89,https://www.goodreads.com/book/show/122752652-that-time-i-got-drunk-and-saved-a-human,That Time I Got Drunk And Saved a Human,Kimberly Lemming,Fantasy,English,4.15,13073.0,"May 23, 2023",243.0,1028.0,13400.0
89,90,https://www.goodreads.com/book/show/65678550-the-heaven-earth-grocery-store,The Heaven & Earth Grocery Store,James McBride,Fiction,English,3.97,241868.0,"August 8, 2023",385.0,48700.0,370000.0
90,91,https://www.goodreads.com/book/show/65001465-devious-obsession,Devious Obsession,S. Massery,Sports Romance,English,4.01,18342.0,"March 23, 2023",512.0,2754.0,23300.0
91,92,https://www.goodreads.com/book/show/61897968-practice-makes-perfect,Practice Makes Perfect,Sarah Adams,Romance,English,4.01,160314.0,"May 2, 2023",335.0,4576.0,261000.0
