Unnamed: 0,Rank,Book Link,Title,Author,Genre,Language,Average Rating,Number of Ratings,Publication Date,Number of Pages,Currently Reading,Want to Read
278,279,https://www.goodreads.com/book/show/61654430-the-serial-killer-s-sister,The Serial Killer’s Sister,Alice Hunter,Thriller,English,4.04,3291.0,"May 1, 2023",348.0,374.0,4308.0
279,280,https://www.goodreads.com/book/show/61058004-all-that-is-mine-i-carry-with-me,All That Is Mine I Carry With Me,William Landay,Mystery,English,3.84,16672.0,"March 7, 2023",320.0,1436.0,56300.0
280,281,https://www.goodreads.com/book/show/78299696-against-the-wind,Against the Wind,Amanda Cabot,Historical Fiction,English,4.21,574.0,"October 1, 2023",368.0,49.0,3636.0
281,282,https://www.goodreads.com/book/show/61812770-the-last-remains,The Last Remains,Elly Griffiths,Mystery,English,4.4,19642.0,"February 2, 2023",361.0,1087.0,13700.0
282,283,https://www.goodreads.com/book/show/63298752-free-me,Free Me,Ashley N. Rostek,Reverse Harem,English,4.12,15878.0,"August 31, 2023",336.0,1231.0,7202.0
283,284,https://www.goodreads.com/book/show/64624296-the-king-s-shadow,The King's Shadow,K.M. Shea,Fantasy,English,4.34,10339.0,"January 13, 2023",362.0,1200.0,2536.0
284,284,https://www.goodreads.com/book/show/58007996-mammoths-at-the-gates,Mammoths at the Gates,Nghi Vo,Fantasy,English,4.23,5947.0,"September 12, 2023",123.0,102.0,9273.0
285,286,https://www.goodreads.com/book/show/62794526-a-most-agreeable-murder,A Most Agreeable Murder,Julia Seales,Mystery,English,3.68,22711.0,"June 27, 2023",352.0,2057.0,69900.0
286,287,https://www.goodreads.com/book/show/102188677-a-haunting-on-the-hill,A Haunting on the Hill,Elizabeth Hand,Horror,English,3.33,9065.0,"October 3, 2023",326.0,716.0,33300.0
287,288,https://www.goodreads.com/book/show/60916169-independence,Independence,Chitra Banerjee Divakaruni,Historical Fiction,English,4.11,10013.0,"January 17, 2023",288.0,505.0,22300.0
288,288,https://www.goodreads.com/book/show/125931167-woke-up-like-this,Woke Up Like This,Amy Lea,Romance,English,4.02,22021.0,"September 5, 2023",273.0,4455.0,34100.0
289,290,https://www.goodreads.com/book/show/62991521-lace-vengeance,Lace Vengeance,Eve Dangerfield,Reverse Harem,English,4.16,554.0,"May 9, 2023",336.0,71.0,842.0
290,290,https://www.goodreads.com/book/show/61492433-four-found-dead,Four Found Dead,Natalie D. Richards,Thriller,English,3.45,8157.0,"May 2, 2023",321.0,390.0,24100.0
291,290,https://www.goodreads.com/book/show/121486401-les-petites-morts,Les Petites Morts: An Anthology of Dark Fairy Tales and Folklore,Evelyn Freeling,Horror,English,3.48,46.0,"June 1, 2023",198.0,9.0,522.0
292,293,https://www.goodreads.com/book/show/111172379-right-man-right-time,"Right Man, Right Time",Meghan Quinn,Sports,English,4.11,86474.0,"March 7, 2023",467.0,12700.0,1751.0
293,293,https://www.goodreads.com/book/show/62984900-those-empty-eyes,Those Empty Eyes,Charlie Donlea,Thriller,English,4.18,49843.0,"March 28, 2023",368.0,8692.0,104000.0
294,295,https://www.goodreads.com/book/show/61430684-wilder-at-last,Wilder at Last,Serena Bell,Romance,English,3.97,894.0,"February 7, 2023",300.0,61.0,4186.0
295,295,https://www.goodreads.com/book/show/123206298-murtagh,Murtagh,Christopher Paolini,Fantasy,English,4.15,33559.0,"November 7, 2023",688.0,6628.0,57300.0
296,297,https://www.goodreads.com/book/show/61030725-the-cabinet-of-dr-leng,The Cabinet of Dr. Leng,Douglas Preston,Mystery,English,4.28,14230.0,"January 17, 2023",400.0,1750.0,15600.0
297,297,https://www.goodreads.com/book/show/85164835-nero,Nero,S.J. Tilly,Romance,English,3.87,61784.0,"March 16, 2023",368.0,8581.0,42600.0
298,297,https://www.goodreads.com/book/show/62898932-penance,Penance,Eliza Clark,Fiction,Unknown,3.88,29364.0,"July 4, 2023",336.0,1943.0,79400.0
299,297,https://www.goodreads.com/book/show/145937508-pearl,Unknown,Unknown,,Unknown,4.0,6479.5,Unknown,336.0,595.0,16100.0
300,301,https://www.goodreads.com/book/show/61389548-dear-medusa,Dear Medusa,Olivia A. Cole,Poetry,English,4.29,3001.0,"March 14, 2023",384.0,129.0,8767.0
301,302,https://www.goodreads.com/book/show/124943221-king-of-greed,King of Greed,Ana Huang,Romance,English,3.91,203817.0,"October 24, 2023",352.0,13200.0,213000.0
302,303,https://www.goodreads.com/book/show/60604163-the-mitford-affair,The Mitford Affair,Marie Benedict,Historical Fiction,English,3.7,15553.0,"January 17, 2023",352.0,3494.0,42200.0
303,303,https://www.goodreads.com/book/show/61797464-meet-me-at-the-lake,Meet Me at the Lake,Carley Fortune,Romance,English,3.69,276991.0,"May 2, 2023",336.0,12000.0,296000.0
304,305,https://www.goodreads.com/book/show/61346131-house-of-odysseus,House of Odysseus,Claire North,Mythology,English,4.19,3076.0,"August 22, 2023",432.0,272.0,16200.0
305,305,https://www.goodreads.com/book/show/61030513-6-times-we-almost-kissed-and-one-time-we-did,6 Times We Almost Kissed [and One Time We Did],Tess Sharpe,Romance,English,4.18,10047.0,"January 24, 2023",384.0,481.0,21900.0
306,307,https://www.goodreads.com/book/show/68280385-escape-the-reaper,Escape the Reaper,Ashley N. Rostek,Reverse Harem,English,4.43,2845.0,"Published May 31, 2023",368.0,439.0,2015.0
307,307,https://www.goodreads.com/book/show/61030718-liar-dreamer-thief,"Liar, Dreamer, Thief",Maria Dong,Mystery,English,3.59,2700.0,"January 10, 2023",325.0,182.0,25900.0
308,307,https://www.goodreads.com/book/show/62673108-the-making-of-another-major-motion-picture-masterpiece,The Making of Another Major Motion Picture Masterpiece,Tom Hanks,Fiction,English,3.69,16503.0,"May 9, 2023",448.0,3517.0,32700.0
309,310,https://www.goodreads.com/book/show/65137920-the-lost-bookshop,The Lost Bookshop,Evie Woods,Fantasy,English,4.06,198237.0,"June 22, 2023",432.0,7873.0,20700.0
310,311,https://www.goodreads.com/book/show/60487672-a-realm-of-ash-and-shadow,A Realm of Ash and Shadow,Lara Buckheit,Fantasy,English,3.75,349.0,"April 11, 2023",390.0,30.0,2692.0
311,311,https://www.goodreads.com/book/show/61846157-beauty-so-golden,Beauty So Golden,Lilith Vincent,Reverse Harem,English,3.83,905.0,"January 27, 2023",223.0,191.0,1746.0
312,311,https://www.goodreads.com/book/show/60877625-seven-percent-of-ro-devereux,Seven Percent of Ro Devereux,Ellen O'Clover,Romance,English,3.84,2964.0,"January 17, 2023",320.0,65.0,11500.0
313,314,https://www.goodreads.com/book/show/58975192-a-killing-of-innocents,A Killing of Innocents,Deborah Crombie,Mystery,English,4.24,5710.0,"February 7, 2023",368.0,406.0,4126.0
314,314,https://www.goodreads.com/book/show/62196148-the-ruthless-fae-king,The Ruthless Fae King,Leia Stone,Fantasy,English,4.14,8797.0,"April 29, 2023",342.0,1843.0,15000.0
315,314,https://www.goodreads.com/book/show/62919793-the-invisible-hour,The Invisible Hour,Alice Hoffman,Fiction,English,3.6,38377.0,"August 15, 2023",272.0,2277.0,129000.0
316,317,https://www.goodreads.com/book/show/61031431-the-mysterious-case-of-the-alperton-angels,The Mysterious Case of the Alperton Angels,Janice Hallett,Mystery,English,3.93,22844.0,"September 14, 2023",528.0,1473.0,58900.0
317,317,https://www.goodreads.com/book/show/199058046-dom,Dom,S.J. Tilly,Romance,English,4.28,40928.0,"September 21, 2023",445.0,3805.0,25300.0
318,317,https://www.goodreads.com/book/show/29237226-saga-volume-11,"Saga, Volume 11",Brian K. Vaughan,Graphic Novels,English,4.25,7760.0,"November 29, 2023",153.0,160.0,5150.0
319,320,https://www.goodreads.com/book/show/74965693-something-is-killing-the-children-28,Something is Killing the Children #28,James Tynion IV,Comics,English,4.31,274.0,"January 11, 2023",25.0,9.0,149.0
320,321,https://www.goodreads.com/book/show/65002893-how-not-to-date-a-demon,How Not to Date a Demon,Lana Kole,Romance,English,3.57,1846.0,"January 7, 2023",163.0,186.0,3905.0
321,321,https://www.goodreads.com/book/show/63882992-burn-butterfly-burn,Burn Butterfly Burn,Reese Rivers,Reverse Harem,English,4.18,15915.0,"January 30, 2023",396.0,1690.0,3822.0
322,323,https://www.goodreads.com/book/show/61419667-the-home-for-wayward-girls,The Home for Wayward Girls,Marcia Bradley,Fiction,English,3.48,1011.0,"April 4, 2023",288.0,89.0,9590.0
323,323,https://www.goodreads.com/book/show/61185028-the-temple-of-fortuna,The Temple of Fortuna,Elodie Harper,Historical Fiction,English,4.38,9477.0,"November 23, 2023",384.0,426.0,22800.0
324,325,https://www.goodreads.com/book/show/123368729-slaying-the-vampire-conqueror,Slaying the Vampire Conqueror,Carissa Broadbent,Fantasy,English,4.09,28240.0,"April 27, 2023",452.0,3453.0,93400.0
325,326,https://www.goodreads.com/book/show/60864864-her-father-s-daughter,Her Father's Daughter,T.M. Dunn,Thriller,English,3.72,410.0,"July 18, 2023",272.0,17.0,670.0
326,326,https://www.goodreads.com/book/show/63249462-those-we-thought-we-knew,Those We Thought We Knew,David Joy,Fiction,English,4.3,2830.0,"August 1, 2023",400.0,217.0,9631.0
327,328,https://www.goodreads.com/book/show/61812425-paris,Paris: The Memoir,Paris Hilton,Audiobook,English,4.21,72060.0,"March 14, 2023",336.0,3478.0,58500.0
328,328,https://www.goodreads.com/book/show/62039324-shy,Shy,Max Porter,Fiction,English,3.62,7948.0,"April 6, 2023",136.0,315.0,19800.0
329,328,https://www.goodreads.com/book/show/59903149-strong-female-character,Strong Female Character,Fern Brady,Nonfiction,English,4.46,28883.0,"February 14, 2023",288.0,1506.0,50000.0
330,328,https://www.goodreads.com/book/show/63251778-the-heat-will-kill-you-first,The Heat Will Kill You First: Life and Death on a Scorched Planet,Jeff Goodell,Nonfiction,English,4.31,6780.0,"July 11, 2023",400.0,1128.0,18600.0
331,332,https://www.goodreads.com/book/show/60864057-phaedra,Phaedra,Laura Shepperson,Mythology,English,3.33,4002.0,"January 10, 2023",400.0,258.0,15700.0
332,332,https://www.goodreads.com/book/show/60839741-bad-cree,Bad Cree,Jessica Johns,Horror,English,3.92,15570.0,"January 10, 2023",259.0,840.0,40300.0
333,334,https://www.goodreads.com/book/show/112144609-hockey-with-benefits,Hockey With Benefits,Tijan,Sports Romance,English,4.07,9274.0,"March 7, 2023",446.0,2145.0,6324.0
334,334,https://www.goodreads.com/book/show/123157760-how-to-think-like-a-woman,How to Think Like a Woman: Four Women Philosophers Who Taught Me How to Love the Life of the Mind,Regan Penaluna,Nonfiction,Unknown,3.95,1266.0,"March 14, 2023",9.0,264.0,9175.0
335,336,https://www.goodreads.com/book/show/60784727-ordinary-notes,Ordinary Notes,Christina Sharpe,Nonfiction,English,4.54,1357.0,"April 25, 2023",392.0,247.0,14200.0
336,336,https://www.goodreads.com/book/show/58313993-this-bird-has-flown,This Bird Has Flown,Susanna Hoffs,Romance,English,3.16,8326.0,"April 4, 2023",368.0,846.0,21600.0
337,338,https://www.goodreads.com/book/show/58469344-the-davenports,The Davenports,Krystal Marquis,Historical Fiction,English,3.67,12567.0,"January 31, 2023",384.0,1343.0,64300.0
338,339,https://www.goodreads.com/book/show/61437908-murder-book,Murder Book,Thomas Perry,Mystery,English,3.86,3675.0,"January 17, 2023",420.0,440.0,2041.0
339,339,https://www.goodreads.com/book/show/62921348-the-five-star-weekend,The Five-Star Weekend,Elin Hilderbrand,Fiction,English,4.03,250705.0,"June 13, 2023",400.0,15100.0,215000.0
340,341,https://www.goodreads.com/book/show/63340978-a-shadow-in-moscow,A Shadow in Moscow,Katherine Reay,Historical Fiction,English,4.34,3707.0,"June 13, 2023",384.0,296.0,10800.0
341,341,https://www.goodreads.com/book/show/61160671-grim-and-bear-it,Grim and Bear It,Juliette Cross,Romance,English,4.16,8962.0,"May 9, 2023",364.0,661.0,9087.0
342,341,https://www.goodreads.com/book/show/61266478-backpacking-through-bedlam,Backpacking Through Bedlam,Seanan McGuire,Urban Fantasy,English,4.27,2165.0,"March 7, 2023",352.0,174.0,3321.0
343,341,https://www.goodreads.com/book/show/61913607-the-bride-wore-white,The Bride Wore White,Amanda Quick,Romance,English,4.17,4310.0,"May 2, 2023",320.0,457.0,1209.0
344,341,https://www.goodreads.com/book/show/75860045-the-reunion,The Reunion,Kayla Olson,Romance,English,3.49,13315.0,"January 17, 2023",313.0,285.0,19200.0
345,346,https://www.goodreads.com/book/show/75648835-cookies-for-my-orc-neighbor,Cookies for My Orc Neighbor,Michele Mills,Romance,English,3.77,4675.0,"February 6, 2023",84.0,892.0,3259.0
346,346,https://www.goodreads.com/book/show/144359071-doppelganger,Doppelganger: A Trip Into the Mirror World,Naomi Klein,Nonfiction,English,4.21,22049.0,"September 12, 2023",416.0,6206.0,82000.0
347,348,https://www.goodreads.com/book/show/61387386-chlorine,Chlorine,Jade Song,Horror,English,3.7,14476.0,"March 28, 2023",256.0,681.0,57000.0
348,349,https://www.goodreads.com/book/show/63946906-mother-tongue,Mother Tongue: The Surprising History of Women's Words,Jenni Nuttall,Nonfiction,English,3.81,840.0,"August 29, 2023",292.0,208.0,12800.0
349,350,https://www.goodreads.com/book/show/63876551-on-our-best-behavior,On Our Best Behavior: The Seven Deadly Sins and the Price Women Pay to Be Good,Elise Loehnen,Nonfiction,English,3.78,8202.0,"May 23, 2023",384.0,2419.0,62700.0
350,351,https://www.goodreads.com/book/show/60756588-code-name-sapphire,Code Name Sapphire,Pam Jenoff,Historical Fiction,English,3.87,18573.0,"February 7, 2023",368.0,1275.0,32700.0
351,351,https://www.goodreads.com/book/show/123163147-the-future,The Future,Naomi Alderman,Fiction,English,3.85,18595.0,"November 7, 2023",432.0,1723.0,90500.0
352,353,https://www.goodreads.com/book/show/60784417-red-team-blues,Red Team Blues,Cory Doctorow,Fiction,English,3.89,3908.0,"April 25, 2023",213.0,339.0,8401.0
353,354,https://www.goodreads.com/book/show/62039258-sing-her-down,Sing Her Down,Ivy Pochoda,Thriller,English,3.18,2078.0,"May 23, 2023",288.0,369.0,13300.0
354,354,https://www.goodreads.com/book/show/61897971-the-quiet-tenant,The Quiet Tenant,Clémence Michallon,Thriller,English,3.83,108746.0,"June 20, 2023",303.0,4440.0,216000.0
355,356,https://www.goodreads.com/book/show/61530932-the-nanny,The Nanny,Lana Ferguson,Romance,English,3.56,106016.0,"April 11, 2023",421.0,5192.0,129000.0
356,356,https://www.goodreads.com/book/show/61987507-cassandra-in-reverse,Cassandra in Reverse,Holly Smale,Fiction,English,3.56,47731.0,"June 6, 2023",362.0,3352.0,58500.0
357,358,https://www.goodreads.com/book/show/59823055-cursed-bread,Cursed Bread,Sophie Mackintosh,Historical Fiction,English,3.28,8936.0,"March 2, 2023",184.0,607.0,31500.0
358,358,https://www.goodreads.com/book/show/61686006-sisters-of-the-lost-nation,Sisters of the Lost Nation,Nick Medina,Horror,English,3.88,8140.0,"April 18, 2023",338.0,589.0,61400.0
359,358,https://www.goodreads.com/book/show/62699937-play-for-me,Play for Me,Libby Hubscher,Romance,English,3.68,2181.0,"June 20, 2023",368.0,62.0,10900.0
360,361,https://www.goodreads.com/book/show/61898532-counterfeit-hope,Counterfeit Hope,Crystal Caudill,Historical Fiction,English,4.52,198.0,"February 14, 2023",328.0,10.0,568.0
361,361,https://www.goodreads.com/book/show/123414003-pucking-wild,Pucking Wild,Emily Rath,Romance,English,4.18,47456.0,"August 21, 2023",603.0,5193.0,60900.0
362,361,https://www.goodreads.com/book/show/59948520-in-memoriam,In Memoriam,Alice Winn,Historical Fiction,English,4.52,46624.0,"March 7, 2023",382.0,3591.0,112000.0
363,364,https://www.goodreads.com/book/show/62898458-the-choice,The Choice,Ashley Jade,Romance,English,4.35,11168.0,"January 19, 2023",370.0,2001.0,16500.0
364,364,https://www.goodreads.com/book/show/62315603-the-23rd-midnight,The 23rd Midnight,James Patterson,Mystery,English,4.36,33035.0,"March 2, 2023",352.0,3743.0,19900.0
365,364,https://www.goodreads.com/book/show/60784812-western-lane,Western Lane,Chetna Maroo,Fiction,English,3.5,9034.0,"February 7, 2023",160.0,354.0,13900.0
366,364,https://www.goodreads.com/book/show/63843397-role-playing,Role Playing,Cathy Yardley,Romance,English,3.93,13602.0,"July 1, 2023",331.0,2684.0,31700.0
367,368,https://www.goodreads.com/book/show/62713034-the-valkyrie,The Valkyrie,Kate Heartfield,Fantasy,English,3.46,975.0,"January 1, 2023",314.0,81.0,6508.0
368,369,https://www.goodreads.com/book/show/57840627-the-things-we-do-to-our-friends,The Things We Do To Our Friends,Heather Darwent,Thriller,English,3.2,7430.0,"January 10, 2023",336.0,412.0,45900.0
369,370,https://www.goodreads.com/book/show/62366772-beware-the-woman,Beware the Woman,Megan Abbott,Thriller,English,3.29,14037.0,"May 30, 2023",320.0,948.0,30600.0
370,370,https://www.goodreads.com/book/show/45434033-sleep-no-more,Sleep No More,Seanan McGuire,Fantasy,English,4.35,3433.0,"September 5, 2023",368.0,350.0,5820.0
371,370,https://www.goodreads.com/book/show/65650229-wellness,Wellness,Nathan Hill,Fiction,English,3.99,58597.0,"September 26, 2023",611.0,8365.0,143000.0
372,373,https://www.goodreads.com/book/show/58523626-y-n,Y/N,Esther Yi,Fiction,English,2.93,7304.0,"March 21, 2023",204.0,610.0,25000.0
373,373,https://www.goodreads.com/book/show/62919719-fangirl-vol-3,"Fangirl, Vol. 3: The Manga",Rainbow Rowell,Manga,English,4.39,4898.0,"August 8, 2023",224.0,48.0,2464.0
374,375,https://www.goodreads.com/book/show/61235497-superbia,Superbia,Colette Rhodes,Fantasy,English,4.1,4242.0,"March 1, 2023",265.0,370.0,3021.0
375,375,https://www.goodreads.com/book/show/61884979-an-evil-heart,An Evil Heart,Linda Castillo,Mystery,English,4.22,13660.0,"July 11, 2023",320.0,643.0,17900.0
376,375,https://www.goodreads.com/book/show/61745949-with-my-little-eye,With My Little Eye,Joshilyn Jackson,Thriller,English,3.32,7160.0,"April 25, 2023",336.0,399.0,21700.0
377,375,https://www.goodreads.com/book/show/63329951-paved-paradise,Paved Paradise: How Parking Explains the World,Henry Grabar,Nonfiction,English,4.19,3908.0,"May 9, 2023",368.0,765.0,11000.0
378,379,https://www.goodreads.com/book/show/62039263-deep-as-the-sky-red-as-the-sea,"Deep as the Sky, Red as the Sea",Rita Chang-Eppig,Historical Fiction,English,3.48,4640.0,"May 30, 2023",281.0,480.0,44200.0
379,380,https://www.goodreads.com/book/show/60864071-the-brightest-star,The Brightest Star,Gail Tsukiyama,Historical Fiction,English,3.49,1298.0,"June 20, 2023",320.0,139.0,9541.0
380,380,https://www.goodreads.com/book/show/123413720-the-night-eaters-vol-2,"The Night Eaters, Vol. 2: Her Little Reapers",Marjorie M. Liu,Horror,English,4.32,1261.0,"October 3, 2023",272.0,42.0,4377.0
381,382,https://www.goodreads.com/book/show/75593509-how-i-won-a-nobel-prize,How I Won a Nobel Prize,Julius Taranto,Fiction,English,3.56,1224.0,"September 12, 2023",304.0,128.0,7341.0
382,383,https://www.goodreads.com/book/show/62991523-silk-malice,Silk Malice,Eve Dangerfield,Reverse Harem,English,4.0,775.0,"January 31, 2023",324.0,96.0,932.0
383,384,https://www.goodreads.com/book/show/61358640-old-god-s-time,Old God's Time,Sebastian Barry,Fiction,English,3.83,15248.0,"February 28, 2023",261.0,1973.0,21100.0
384,385,https://www.goodreads.com/book/show/62710608-business-or-pleasure,Business or Pleasure,Rachel Lynn Solomon,Romance,English,3.75,29888.0,"July 4, 2023",352.0,948.0,60400.0
385,386,https://www.goodreads.com/book/show/65974986-legacy,Legacy,Sheridan Anne,Reverse Harem,English,4.44,1798.0,"March 14, 2023",332.0,226.0,925.0
386,387,https://www.goodreads.com/book/show/75293479-the-gentleman-s-gambit,The Gentleman's Gambit,Evie Dunmore,Romance,English,3.66,14852.0,"December 5, 2023",432.0,1040.0,35000.0
387,387,https://www.goodreads.com/book/show/61356467-spice-road,Spice Road,Maiya Ibrahim,Fantasy,English,3.7,5403.0,"January 24, 2023",464.0,401.0,38800.0
388,389,https://www.goodreads.com/book/show/64821637-better-hate-than-never,Better Hate than Never,Chloe Liese,Romance,English,3.66,15439.0,"October 10, 2023",366.0,519.0,31000.0
389,389,https://www.goodreads.com/book/show/63318189-forgery,Forgery,Tate James,Romance,English,4.24,3304.0,"June 1, 2023",284.0,390.0,1748.0
390,391,https://www.goodreads.com/book/show/62039277-august-blue,August Blue,Deborah Levy,Fiction,English,3.67,9100.0,"May 4, 2023",208.0,571.0,26900.0
391,392,https://www.goodreads.com/book/show/60846802-back-in-a-spell,Back in a Spell,Lana Harper,Romance,English,3.71,8461.0,"January 3, 2023",320.0,302.0,27200.0
392,393,https://www.goodreads.com/book/show/61885111-rubi-ramos-s-recipe-for-success,Rubi Ramos's Recipe for Success,Jessica Parra,Romance,English,3.75,860.0,"May 16, 2023",320.0,28.0,10400.0
393,394,https://www.goodreads.com/book/show/62060274-the-echo-of-old-books,The Echo of Old Books,Barbara Davis,Historical Fiction,English,4.28,99352.0,"March 28, 2023",431.0,30200.0,170000.0
394,395,https://www.goodreads.com/book/show/62207006-roaming,Roaming,Jillian Tamaki,Graphic Novels,English,3.76,4898.0,"September 1, 2023",443.0,78.0,6809.0
395,396,https://www.goodreads.com/book/show/61087733-iris-kelly-doesn-t-date,Iris Kelly Doesn't Date,Ashley Herring Blake,Romance,English,4.13,34492.0,"October 24, 2023",400.0,1502.0,56200.0
396,397,https://www.goodreads.com/book/show/60784588-murder-at-haven-s-rock,Murder at Haven's Rock,Kelley Armstrong,Mystery,English,4.1,7320.0,"February 21, 2023",352.0,508.0,12300.0
397,398,https://www.goodreads.com/book/show/60879772-the-backup-plan,The Backup Plan,Jill Shalvis,Romance,English,4.03,6116.0,"January 17, 2023",384.0,595.0,9992.0
398,399,https://www.goodreads.com/book/show/59708993-the-celebrants,The Celebrants,Steven Rowley,Fiction,English,3.63,46848.0,"May 30, 2023",336.0,4911.0,111000.0
399,399,https://www.goodreads.com/book/show/75668288-the-hurricane-wars,The Hurricane Wars,Thea Guanzon,Fantasy,English,3.67,29558.0,"October 3, 2023",472.0,4010.0,168000.0
400,399,https://www.goodreads.com/book/show/65212043-brainwyrms,Brainwyrms,Alison Rumfitt,Horror,English,3.65,3411.0,"October 5, 2023",304.0,168.0,12600.0
401,402,https://www.goodreads.com/book/show/62919847-the-reformatory,The Reformatory,Tananarive Due,Horror,English,4.46,28383.0,"October 31, 2023",576.0,3721.0,126000.0
402,403,https://www.goodreads.com/book/show/61884779-the-salt-grows-heavy,The Salt Grows Heavy,Cassandra Khaw,Horror,English,3.57,21118.0,"May 2, 2023",106.0,943.0,60500.0
403,404,https://www.goodreads.com/book/show/78292425-huda-f-cares,Huda F Cares?,Huda Fahmy,Graphic Novels,English,4.21,3448.0,"October 10, 2023",208.0,55.0,6992.0
404,405,https://www.goodreads.com/book/show/62952152-my-murder,My Murder,Katie Williams,Mystery,English,3.65,28316.0,"June 6, 2023",304.0,1488.0,64099.0
405,406,https://www.goodreads.com/book/show/57915993-blood-over-bright-haven,Blood Over Bright Haven,M.L. Wang,Fantasy,English,4.44,16796.0,"July 25, 2023",527.0,2854.0,119000.0
406,406,https://www.goodreads.com/book/show/65211796-gator-country,"Gator Country: Deception, Danger, and Alligators in the Everglades",Rebecca Renner,Nonfiction,English,3.8,2303.0,"November 14, 2023",288.0,402.0,7380.0
407,408,https://www.goodreads.com/book/show/63212931-the-husband-hoax,The Husband Hoax,Saxon James,M M Romance,English,4.04,8866.0,"February 9, 2023",284.0,1252.0,4211.0
408,408,https://www.goodreads.com/book/show/60784841-she-is-a-haunting,She Is a Haunting,Trang Thanh Tran,Horror,English,3.38,9025.0,"February 28, 2023",352.0,817.0,57900.0
409,410,https://www.goodreads.com/book/show/122765800-murder-at-the-willows,Murder at the Willows,Jane A. Adams,Cozy Mystery,English,4.49,1283.0,"February 15, 2023",305.0,391.0,128.0
410,410,https://www.goodreads.com/book/show/60784806-the-angel-maker,The Angel Maker,Alex North,Thriller,English,3.44,12917.0,"February 28, 2023",336.0,769.0,34800.0
411,410,https://www.goodreads.com/book/show/60197314-betting-on-you,Betting on You,Lynn Painter,Romance,English,4.1,89406.0,"November 28, 2023",432.0,4743.0,169000.0
412,413,https://www.goodreads.com/book/show/61447882-my-father-s-house,My Father's House,Joseph O'Connor,Historical Fiction,English,4.04,7447.0,"January 26, 2023",276.0,1283.0,9072.0
413,413,https://www.goodreads.com/book/show/61884842-the-deep-sky,The Deep Sky,Yume Kitasei,Science Fiction,English,3.69,9222.0,"July 18, 2023",399.0,714.0,72400.0
414,415,https://www.goodreads.com/book/show/60316954-hunted,Hunted,Skye Melki-Wegner,Middle Grade,English,3.95,372.0,"April 4, 2023",285.0,47.0,620.0
415,416,https://www.goodreads.com/book/show/61124074-the-malevolent-seven,The Malevolent Seven,Sebastien de Castell,Fantasy,English,4.02,4801.0,"May 11, 2023",384.0,570.0,10100.0
416,416,https://www.goodreads.com/book/show/63287436-heart-of-my-monster,Heart of My Monster,Rina Kent,Romance,English,4.24,39113.0,"April 6, 2023",322.0,1807.0,22100.0
417,418,https://www.goodreads.com/book/show/61294697-the-sweet-spot,The Sweet Spot,Amy Poeppel,Fiction,English,3.92,13500.0,"January 31, 2023",400.0,706.0,28100.0
418,418,https://www.goodreads.com/book/show/61891504-coercion,Coercion,Amelia Wilde,Romance,English,4.34,957.0,"January 10, 2023",230.0,149.0,654.0
419,418,https://www.goodreads.com/book/show/60880793-good-for-a-girl,Good for a Girl: A Woman Running in a Man's World,Lauren Fleshman,Nonfiction,English,4.47,15078.0,"January 10, 2023",288.0,747.0,18700.0
420,418,https://www.goodreads.com/book/show/61327505-the-disappeared,The Disappeared: Stories,Andrew Porter,Short Stories,English,4.26,606.0,"April 11, 2023",240.0,44.0,6511.0
421,418,https://www.goodreads.com/book/show/127152907-in-the-likely-event,In the Likely Event,Rebecca Yarros,Fiction,English,4.21,150966.0,"August 1, 2023",348.0,21900.0,169000.0
422,418,https://www.goodreads.com/book/show/61678536-mastering-the-art-of-french-murder,Mastering the Art of French Murder,Colleen Cambridge,Mystery,English,3.64,8833.0,"April 25, 2023",304.0,1030.0,35500.0
423,418,https://www.goodreads.com/book/show/62365905-we-could-be-so-good,We Could Be So Good,Cat Sebastian,Romance,English,4.28,13791.0,"June 6, 2023",384.0,648.0,45400.0
424,425,https://www.goodreads.com/book/show/65413847-the-arcadian-incident,The Arcadian Incident,Andrew Stickland,Science Fiction,English,4.4,25.0,"January 9, 2023",368.0,7.0,73.0
425,425,https://www.goodreads.com/book/show/62052321-titanium-noir,Titanium Noir,Nick Harkaway,Science Fiction,English,4.03,7420.0,"May 16, 2023",236.0,523.0,11500.0
426,425,https://www.goodreads.com/book/show/61492455-unlikeable-female-characters,Unlikeable Female Characters: The Women Pop Culture Wants You to Hate,Anna Bogutskaya,Nonfiction,English,3.71,2727.0,"May 9, 2023",340.0,441.0,15800.0
427,425,https://www.goodreads.com/book/show/120730295-vol-1,気になってる人が男じゃなかった VOL.1,Sumiko Arai,Manga,Japanese,4.6,6917.0,"April 19, 2023",180.0,433.0,6027.0
428,425,https://www.goodreads.com/book/show/60759266-this-time-it-s-real,This Time It's Real,Ann Liang,Romance,English,4.02,20560.0,"February 7, 2023",352.0,832.0,51000.0
429,430,https://www.goodreads.com/book/show/61419120-last-violent-call,Last Violent Call,Chloe Gong,Fantasy,English,4.23,11118.0,"February 28, 2023",240.0,446.0,28600.0
430,430,https://www.goodreads.com/book/show/63251402-did-i-ever-tell-you-this,Did I Ever Tell You This?,Sam Neill,Nonfiction,English,4.05,5140.0,"March 21, 2023",398.0,575.0,5698.0
431,430,https://www.goodreads.com/book/show/201871211-god-of-fury,God of Fury,Rina Kent,M M Romance,English,4.49,77956.0,"December 6, 2023",510.0,6276.0,28900.0
